epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0697,0.93554,4.04032,1.25167,0.05974,0.68246,0.09417,0.08043,0.61742,3.52117,1.08759,0.00015254,0.00015254,0.00015254
2,55.9778,0.74026,2.93397,1.10505,0.60502,0.1898,0.19866,0.16922,0.6921,2.62115,1.10684,0.000300099,0.000300099,0.000300099
3,73.896,0.71724,2.41591,1.07159,0.30674,0.39716,0.27842,0.22337,0.78786,2.36653,1.20277,0.000437243,0.000437243,0.000437243
4,91.7836,0.69356,2.06458,1.05302,0.55987,0.47512,0.4886,0.39113,0.7391,1.90026,1.1603,0.000473926,0.000473926,0.000473926
5,109.799,0.68388,1.80033,1.04436,0.64442,0.63527,0.68668,0.57489,0.66216,1.42352,1.06679,0.000456568,0.000456568,0.000456568
6,127.802,0.65931,1.57312,1.0305,0.75487,0.69402,0.77757,0.64885,0.66093,1.04858,1.09387,0.00043921,0.00043921,0.00043921
7,145.649,0.63756,1.4006,1.01939,0.81246,0.68752,0.8018,0.66931,0.61978,0.92716,1.03926,0.000421852,0.000421852,0.000421852
8,163.659,0.62922,1.28873,1.01267,0.80892,0.70533,0.81291,0.68443,0.6122,0.91402,1.02238,0.000404494,0.000404494,0.000404494
9,181.579,0.62778,1.2293,1.01107,0.90105,0.76047,0.86497,0.72523,0.6238,0.69454,1.02905,0.000387136,0.000387136,0.000387136
10,199.309,0.60014,1.12956,0.99787,0.86667,0.79459,0.88519,0.75117,0.58451,0.63239,0.99338,0.000369778,0.000369778,0.000369778
11,217.144,0.61312,1.07332,0.99519,0.87924,0.80489,0.88312,0.75213,0.582,0.63733,0.98801,0.00035242,0.00035242,0.00035242
12,234.938,0.60204,1.02334,0.99834,0.89942,0.80426,0.89129,0.7505,0.58186,0.62276,0.98915,0.000335062,0.000335062,0.000335062
13,252.548,0.58996,0.97829,0.9924,0.88884,0.81831,0.90296,0.77173,0.56603,0.5304,0.98048,0.000317704,0.000317704,0.000317704
14,270.37,0.58629,0.9282,0.98159,0.94321,0.80866,0.91526,0.78385,0.55374,0.5225,0.96987,0.000300346,0.000300346,0.000300346
15,288.321,0.57931,0.88786,0.98122,0.92386,0.8188,0.91076,0.77992,0.5687,0.50526,0.97637,0.000282988,0.000282988,0.000282988
16,306.072,0.57041,0.85761,0.97788,0.90561,0.85038,0.91999,0.79128,0.55127,0.50922,0.96474,0.00026563,0.00026563,0.00026563
17,323.818,0.57089,0.82304,0.97603,0.93567,0.86546,0.9358,0.79656,0.54918,0.47552,0.96667,0.000248272,0.000248272,0.000248272
18,341.559,0.5551,0.79704,0.97245,0.88853,0.87756,0.92811,0.78554,0.56793,0.45717,0.9841,0.000230914,0.000230914,0.000230914
19,359.289,0.56002,0.78847,0.97102,0.94108,0.84529,0.93247,0.79939,0.54986,0.43807,0.96534,0.000213556,0.000213556,0.000213556
20,376.944,0.54385,0.75557,0.96202,0.91041,0.88416,0.94365,0.80424,0.55154,0.43276,0.97207,0.000196198,0.000196198,0.000196198
21,398.379,0.55204,0.65121,0.93654,0.92457,0.85548,0.93004,0.79801,0.54237,0.44494,0.96167,0.00017884,0.00017884,0.00017884
22,416.221,0.5459,0.60765,0.93386,0.94331,0.86643,0.94309,0.80623,0.53679,0.43885,0.95444,0.000161482,0.000161482,0.000161482
23,433.875,0.53434,0.56582,0.93141,0.95673,0.88023,0.94604,0.80366,0.53778,0.39872,0.95242,0.000144124,0.000144124,0.000144124
24,451.934,0.52819,0.54121,0.92292,0.9593,0.87021,0.95053,0.81544,0.5351,0.38887,0.95302,0.000126766,0.000126766,0.000126766
25,469.775,0.52182,0.52375,0.91646,0.95389,0.90152,0.95877,0.82216,0.5242,0.37,0.94415,0.000109408,0.000109408,0.000109408
26,487.512,0.51051,0.50602,0.91507,0.94331,0.90764,0.96006,0.82102,0.52814,0.36381,0.94761,9.205e-05,9.205e-05,9.205e-05
27,505.053,0.51041,0.48536,0.91514,0.94089,0.90572,0.95659,0.82457,0.52798,0.36032,0.94814,7.4692e-05,7.4692e-05,7.4692e-05
28,522.738,0.49969,0.4738,0.90837,0.95608,0.88017,0.95178,0.82283,0.51292,0.3557,0.93517,5.7334e-05,5.7334e-05,5.7334e-05
29,540.269,0.48858,0.46772,0.90069,0.92692,0.91275,0.95723,0.8269,0.51148,0.34821,0.93505,3.9976e-05,3.9976e-05,3.9976e-05
30,557.947,0.48717,0.45753,0.90617,0.94927,0.89416,0.95911,0.83091,0.50755,0.34449,0.93128,2.2618e-05,2.2618e-05,2.2618e-05
